dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/5T/long,f32,141.58078373015874,141.58078373015874,6.855238715277777,0.6894356337410816,0.5208559705693655,0.8374646258116641,4.219077501989842,11.898772362313633,0.6680982794472737,0.3849114052625576,0.30416961811172344,Web/CloudOps,7
bizitobs_l2c/H/short,f32,61.86437019469246,61.86437019469246,4.696976919022817,0.477376449881006,0.4036625192033873,0.6228754716465094,2.652525401699996,7.865390657474838,0.42396470005150433,0.25317908510111636,0.19665706237474537,Web/CloudOps,7
bizitobs_l2c/H/medium,f32,78.13411458333333,78.13411458333333,4.971674455915179,0.5114011688475225,0.4788305246976808,0.7750357788728863,3.678329855567748,8.839350348489042,0.535236089803186,0.30104243984551254,0.24356242670021772,Web/CloudOps,7
bizitobs_l2c/H/long,f32,85.57069692460317,85.57069692460317,5.2443037729414685,0.5610008183577784,0.553994181251625,0.7685471416794502,4.412694355572749,9.250443066394343,0.5650437609181748,0.3203372104440449,0.25881805996175533,Web/CloudOps,7
bizitobs_service/10S/short,f32,2999.2232804232804,2999.2232804232804,21.584522156084656,0.8216834568762024,0.06442187758349868,0.05940199469585056,7.54901561648218,54.76516484429934,0.04057178491497004,0.015990504053056426,0.012717180390607102,Web/CloudOps,2
bizitobs_service/10S/medium,f32,19395.644444444446,19395.644444444446,42.24308531746032,1.1641652385173347,0.08791107662140377,0.0841165990076609,10.850349127799134,139.26824636091476,0.10481656408273232,0.03179314147286162,0.0242469719720471,Web/CloudOps,2
bizitobs_service/10S/long,f32,118353.12084656085,118353.12084656085,79.60268518518518,1.4527973211401415,0.10136544363839285,0.10347539091854882,18.819530525113894,344.0248840513733,0.2548646323043565,0.058972214019065175,0.051446285482024116,Web/CloudOps,2
car_parts/M/short,f32,1.3589763294198178,1.3589763294198178,0.46331971179794407,0.8453012280210717,0.8096518144256656,1.886455201849415,12.354281047016071,1.1657514012086014,2.7953522768069905,1.1109931413517442,0.9659373382045762,Sales,1
covid_deaths/D/short,f32,1178133.8145363408,1178133.8145363408,192.92227443609022,41.583539764476484,0.11077681018318189,0.39368770039077605,871.5960402465985,1085.4187277435103,0.40839407856848564,0.07258794462433639,0.061955880144017525,Healthcare,1
electricity/15T/short,f32,162400.81295045046,162400.81295045046,57.93766487190315,1.0847091314356303,0.17578985461662242,0.1756321946330733,12.530155758263552,402.989842242271,0.7943724162709517,0.1142065581139919,0.09520443035100215,Energy,1
electricity/15T/medium,f32,264979.44896396395,264979.44896396395,54.57793102477478,0.8555298662706516,0.13050748360534456,0.13378505487089404,7.452460287052688,514.7615457315785,0.8869859754576862,0.0940432706947294,0.07627683923493743,Energy,1
electricity/15T/long,f32,364978.4704384384,364978.4704384384,61.06475694444445,0.904347394923295,0.1339859155195128,0.1357567317746683,7.568445197895873,604.1344804250444,0.9530961754710049,0.09633713715341809,0.07785767470824724,Energy,1
electricity/D/short,f32,1242225759.2781262,1242225759.2781262,4160.79654054054,1.388553167252715,0.24631845588584655,0.09371565250726858,11.464796898092727,35245.223212204604,0.5791961000226451,0.06837570909280824,0.05392200012568559,Energy,1
electricity/H/short,f32,1603234.7882882883,1603234.7882882883,172.69995284346848,0.9504936382425955,0.17668526966078238,0.1263808758664353,10.794496962653467,1266.1890807807056,0.5977316664246902,0.0815267104822476,0.0667306643129992,Energy,1
electricity/H/medium,f32,4693432.056216217,4693432.056216217,230.4679912725225,1.0608798714388035,0.2144643577040275,0.12935573478521725,8.82571545469695,2166.4330260167785,0.8456302181496631,0.08995925348065133,0.07128087321028626,Energy,1
electricity/H/long,f32,5644819.176168168,5644819.176168168,247.03334534534534,1.1409050413960498,0.2909830412947234,0.13793193393287437,9.596420527927384,2375.8828203781786,0.9370474816334494,0.09742987833823226,0.07693343510160344,Energy,1
electricity/W/short,f32,62066984210.91171,62066984210.91171,30815.076576576575,1.5185073933512787,0.24398701359091787,0.09778081405814497,12.623289388777541,249132.46318156074,0.5684380669981447,0.07030983573916455,0.05686965860183207,Energy,1
ett1/15T/short,f32,5.235818917410715,5.235818917410715,1.0883617582775298,0.6971405769916166,0.49544217516937167,0.23588230378360944,5.0790464116533505,2.2881911889985753,0.43256338103746844,0.2057456755431573,0.1632605096274819,Energy,7
ett1/15T/medium,f32,10.77491939484127,10.77491939484127,1.6528002542162699,1.0413057106744747,0.7080920936549434,0.406504845687356,7.166779455329522,3.2825172345078815,0.6256510304619228,0.31502536264768977,0.24532838328371154,Energy,7
ett1/15T/long,f32,11.575632440476191,11.575632440476191,1.7215378534226191,1.0967651573134083,0.7645793778206326,0.42660044993304114,7.294742272059151,3.4022981116410405,0.6484813840759622,0.32812681702021446,0.2545434830893368,Energy,7
ett1/D/short,f32,50649.730158730155,50649.730158730155,151.51763392857143,1.856596506200909,0.9368507990761409,0.5233639893993708,10.826649931929406,225.05494919847942,0.5911142892187387,0.39796609140465716,0.30207682776963535,Energy,7
