dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
kdd_cup_2018/H/long,q8_0,3960.351392363532,3960.351392363532,23.640780168853006,0.9978676781956985,1.120547683055466,0.5934562891371519,7.378907587124486,62.93132282388105,1.4766231322775276,0.5547082326572225,0.43600164320994367,Nature,1
m4_daily/D/short,q8_0,388165.5504410423,388165.5504410423,181.08274242539457,3.431038388230976,0.03766165598645288,0.030910051922592875,27.29154217846075,623.0293335317706,0.09624081432893755,0.02797227939998515,0.022259740580203077,Econ/Fin,1
m4_hourly/H/short,q8_0,841125.2560386474,841125.2560386474,188.6597473832528,0.9146632185129429,0.0911404522144852,0.08598640148258248,7.432576354771285,917.1288110394567,0.12520833999484965,0.025756222582226252,0.020600489111876993,Econ/Fin,1
m4_monthly/M/short,q8_0,1917245.2696296296,1917245.2696296296,573.4528185763888,0.9856028714726746,0.15996478331530536,0.1343563163099086,8.254842833148102,1384.6462615518917,0.2877770254022088,0.11918318123609875,0.09591435195519721,Econ/Fin,1
m4_quarterly/Q/short,q8_0,1920288.592,1920288.592,601.25291015625,1.3131158241859124,0.1193668573697408,0.10928547658293174,9.872957058803344,1385.7447788102972,0.23194927380023253,0.10063914944045418,0.08000151036832787,Econ/Fin,1
m4_weekly/W/short,q8_0,295539.7951574887,295539.7951574887,282.65167666595244,2.2903491561270393,0.06633955205766552,0.06688962416648778,15.164781486865468,543.6357191700051,0.09904200312568856,0.05149475513965631,0.040063629074410384,Econ/Fin,1
m4_yearly/A/short,q8_0,4293020.555874757,4293020.555874757,1033.4584729839528,3.969513424051694,0.183011699658913,0.17359653018790386,32.70602299687793,2071.960558474692,0.3322484798008375,0.1657198565782483,0.13217358837565515,Econ/Fin,1
restaurant/D/short,q8_0,137.40838937143926,137.40838937143926,7.016777867283086,0.6733038985971038,0.6358753509678248,0.3890166602791468,4.580898248756539,11.72213245836436,0.5394796956419449,0.3229283751633369,0.2531504029842009,Sales,1
saugeen/D/short,q8_0,1305.2267708333334,1305.2267708333334,13.466534830729167,2.992067175290497,0.28277053833007815,0.34108712249399775,29.144760669009223,36.127922315479665,1.1701920118329125,0.4361842717768734,0.3522460313653133,Nature,1
saugeen/M/short,q8_0,379.7372116815476,379.7372116815476,12.504736037481399,0.7328390755066736,0.3704284940447126,0.35467660549666136,4.979552027872637,19.486847145742885,0.585053611309103,0.37542968970194973,0.2886188303031305,Nature,1
